"STATISTIC","Statistic Label","TLIST(A1)","Year","C03803V04563","NACE Sector of Payee","UNIT","VALUE"
"ETA04C01","Environment Taxes","2011","2011","01","Agriculture, forestry and fishing (01-03)","€m","59"
"ETA04C01","Environment Taxes","2011","2011","02","Industry (05-43)","€m","433"
"ETA04C01","Environment Taxes","2011","2011","21","Mining and quarrying (05-09)","€m","22"
"ETA04C01","Environment Taxes","2011","2011","22","Food, beverages and tobacco (10-12)","€m","45"
"ETA04C01","Environment Taxes","2011","2011","23","Textiles and pharmaceuticals (13-21)","€m","31"
"ETA04C01","Environment Taxes","2011","2011","24","Plastic and non-metallic minerals (22-23)","€m","73"
"ETA04C01","Environment Taxes","2011","2011","25","Metals, machinery and equipment (24-33)","€m","164"
"ETA04C01","Environment Taxes","2011","2011","26","Electricity and gas (35)","€m","12"
"ETA04C01","Environment Taxes","2011","2011","27","Water and Waste (36-39)","€m","51"
"ETA04C01","Environment Taxes","2011","2011","28","Construction (41-43)","€m","35"
"ETA04C01","Environment Taxes","2011","2011","03","Services (45-96)","€m","972"
"ETA04C01","Environment Taxes","2011","2011","31","Wholesale and retail trade (45-47)","€m","171"
"ETA04C01","Environment Taxes","2011","2011","32","Transport, postal and warehousing (49-53)","€m","421"
"ETA04C01","Environment Taxes","2011","2011","33","Accommodation and food (55-56)","€m","26"
"ETA04C01","Environment Taxes","2011","2011","34","Information and computing (62-63)","€m","21"
"ETA04C01","Environment Taxes","2011","2011","35","Rental and leasing (77)","€m","93"
"ETA04C01","Environment Taxes","2011","2011","36","Public administration (84)","€m","106"
"ETA04C01","Environment Taxes","2011","2011","37","Other services (58-61, 64-66, 68-75, 78-82, 85-88, 90-96)","€m","133"
"ETA04C01","Environment Taxes","2011","2011","04","Households and non-residents","€m","2739"
"ETA04C01","Environment Taxes","2012","2012","01","Agriculture, forestry and fishing (01-03)","€m","55"
"ETA04C01","Environment Taxes","2012","2012","02","Industry (05-43)","€m","431"
"ETA04C01","Environment Taxes","2012","2012","21","Mining and quarrying (05-09)","€m","18"
"ETA04C01","Environment Taxes","2012","2012","22","Food, beverages and tobacco (10-12)","€m","44"
"ETA04C01","Environment Taxes","2012","2012","23","Textiles and pharmaceuticals (13-21)","€m","23"
"ETA04C01","Environment Taxes","2012","2012","24","Plastic and non-metallic minerals (22-23)","€m","60"
"ETA04C01","Environment Taxes","2012","2012","25","Metals, machinery and equipment (24-33)","€m","186"
"ETA04C01","Environment Taxes","2012","2012","26","Electricity and gas (35)","€m","12"
"ETA04C01","Environment Taxes","2012","2012","27","Water and Waste (36-39)","€m","57"
"ETA04C01","Environment Taxes","2012","2012","28","Construction (41-43)","€m","31"
"ETA04C01","Environment Taxes","2012","2012","03","Services (45-96)","€m","932"
"ETA04C01","Environment Taxes","2012","2012","31","Wholesale and retail trade (45-47)","€m","162"
"ETA04C01","Environment Taxes","2012","2012","32","Transport, postal and warehousing (49-53)","€m","408"
"ETA04C01","Environment Taxes","2012","2012","33","Accommodation and food (55-56)","€m","22"
"ETA04C01","Environment Taxes","2012","2012","34","Information and computing (62-63)","€m","26"
"ETA04C01","Environment Taxes","2012","2012","35","Rental and leasing (77)","€m","64"
