"STATISTIC","Statistic Label","TLIST(A1)","Year","C03803V04563","NACE Sector of Payee","UNIT","VALUE"
"ETA07C01","Pollution and Resource Taxes","2011","2011","01","Agriculture, forestry and fishing (01-03)","€m","0"
"ETA07C01","Pollution and Resource Taxes","2011","2011","02","Industry (05-43)","€m","9"
"ETA07C01","Pollution and Resource Taxes","2011","2011","21","Mining and quarrying (05-09)","€m","0"
"ETA07C01","Pollution and Resource Taxes","2011","2011","22","Food, beverages and tobacco (10-12)","€m","1"
"ETA07C01","Pollution and Resource Taxes","2011","2011","23","Textiles and pharmaceuticals (13-21)","€m","0"
"ETA07C01","Pollution and Resource Taxes","2011","2011","24","Plastic and non-metallic minerals (22-23)","€m","1"
"ETA07C01","Pollution and Resource Taxes","2011","2011","25","Metals, machinery and equipment (24-33)","€m","4"
"ETA07C01","Pollution and Resource Taxes","2011","2011","26","Electricity and gas (35)","€m","0"
"ETA07C01","Pollution and Resource Taxes","2011","2011","27","Water and Waste (36-39)","€m","0"
"ETA07C01","Pollution and Resource Taxes","2011","2011","28","Construction (41-43)","€m","3"
"ETA07C01","Pollution and Resource Taxes","2011","2011","03","Services (45-96)","€m","9"
"ETA07C01","Pollution and Resource Taxes","2011","2011","31","Wholesale and retail trade (45-47)","€m","1"
"ETA07C01","Pollution and Resource Taxes","2011","2011","32","Transport, postal and warehousing (49-53)","€m","1"
"ETA07C01","Pollution and Resource Taxes","2011","2011","33","Accommodation and food (55-56)","€m","0"
"ETA07C01","Pollution and Resource Taxes","2011","2011","34","Information and computing (62-63)","€m","1"
"ETA07C01","Pollution and Resource Taxes","2011","2011","35","Rental and leasing (77)","€m","2"
"ETA07C01","Pollution and Resource Taxes","2011","2011","36","Public administration (84)","€m","0"
"ETA07C01","Pollution and Resource Taxes","2011","2011","37","Other services (58-61, 64-66, 68-75, 78-82, 85-88, 90-96)","€m","4"
"ETA07C01","Pollution and Resource Taxes","2011","2011","04","Households and non-residents","€m","44"
"ETA07C01","Pollution and Resource Taxes","2012","2012","01","Agriculture, forestry and fishing (01-03)","€m","1"
"ETA07C01","Pollution and Resource Taxes","2012","2012","02","Industry (05-43)","€m","9"
"ETA07C01","Pollution and Resource Taxes","2012","2012","21","Mining and quarrying (05-09)","€m","0"
"ETA07C01","Pollution and Resource Taxes","2012","2012","22","Food, beverages and tobacco (10-12)","€m","2"
"ETA07C01","Pollution and Resource Taxes","2012","2012","23","Textiles and pharmaceuticals (13-21)","€m","1"
"ETA07C01","Pollution and Resource Taxes","2012","2012","24","Plastic and non-metallic minerals (22-23)","€m","1"
"ETA07C01","Pollution and Resource Taxes","2012","2012","25","Metals, machinery and equipment (24-33)","€m","3"
"ETA07C01","Pollution and Resource Taxes","2012","2012","26","Electricity and gas (35)","€m","0"
"ETA07C01","Pollution and Resource Taxes","2012","2012","27","Water and Waste (36-39)","€m","0"
"ETA07C01","Pollution and Resource Taxes","2012","2012","28","Construction (41-43)","€m","2"
"ETA07C01","Pollution and Resource Taxes","2012","2012","03","Services (45-96)","€m","9"
"ETA07C01","Pollution and Resource Taxes","2012","2012","31","Wholesale and retail trade (45-47)","€m","1"
"ETA07C01","Pollution and Resource Taxes","2012","2012","32","Transport, postal and warehousing (49-53)","€m","2"
"ETA07C01","Pollution and Resource Taxes","2012","2012","33","Accommodation and food (55-56)","€m","0"
"ETA07C01","Pollution and Resource Taxes","2012","2012","34","Information and computing (62-63)","€m","0"
"ETA07C01","Pollution and Resource Taxes","2012","2012","35","Rental and leasing (77)","€m","1"
"ETA07C01","Pollution and Resource Taxes","2012","2012","36","Public administration (84)","€m","0"
"ETA07C01","Pollution and Resource Taxes","2012","2012","37","Other services (58-61, 64-66, 68-75, 78-82, 85-88, 90-96)","€m","5"
"ETA07C01","Pollution and Resource Taxes","2012","2012","04","Households and non-residents","€m","48"
"ETA07C01","Pollution and Resource Taxes","2013","2013","01","Agriculture, forestry and fishing (01-03)","€m","0"
"ETA07C01","Pollution and Resource Taxes","2013","2013","02","Industry (05-43)","€m","8"
"ETA07C01","Pollution and Resource Taxes","2013","2013","21","Mining and quarrying (05-09)","€m","0"
"ETA07C01","Pollution and Resource Taxes","2013","2013","22","Food, beverages and tobacco (10-12)","€m","1"
"ETA07C01","Pollution and Resource Taxes","2013","2013","23","Textiles and pharmaceuticals (13-21)","€m","1"
"ETA07C01","Pollution and Resource Taxes","2013","2013","24","Plastic and non-metallic minerals (22-23)","€m","1"
"ETA07C01","Pollution and Resource Taxes","2013","2013","25","Metals, machinery and equipment (24-33)","€m","3"
"ETA07C01","Pollution and Resource Taxes","2013","2013","26","Electricity and gas (35)","€m","0"
"ETA07C01","Pollution and Resource Taxes","2013","2013","27","Water and Waste (36-39)","€m","0"
"ETA07C01","Pollution and Resource Taxes","2013","2013","28","Construction (41-43)","€m","2"
"ETA07C01","Pollution and Resource Taxes","2013","2013","03","Services (45-96)","€m","11"
"ETA07C01","Pollution and Resource Taxes","2013","2013","31","Wholesale and retail trade (45-47)","€m","2"
"ETA07C01","Pollution and Resource Taxes","2013","2013","32","Transport, postal and warehousing (49-53)","€m","2"
"ETA07C01","Pollution and Resource Taxes","2013","2013","33","Accommodation and food (55-56)","€m","0"
"ETA07C01","Pollution and Resource Taxes","2013","2013","34","Information and computing (62-63)","€m","1"
"ETA07C01","Pollution and Resource Taxes","2013","2013","35","Rental and leasing (77)","€m","1"
"ETA07C01","Pollution and Resource Taxes","2013","2013","36","Public administration (84)","€m","0"
"ETA07C01","Pollution and Resource Taxes","2013","2013","37","Other services (58-61, 64-66, 68-75, 78-82, 85-88, 90-96)","€m","5"
"ETA07C01","Pollution and Resource Taxes","2013","2013","04","Households and non-residents","€m","40"
"ETA07C01","Pollution and Resource Taxes","2014","2014","01","Agriculture, forestry and fishing (01-03)","€m","0"
"ETA07C01","Pollution and Resource Taxes","2014","2014","02","Industry (05-43)","€m","7"
"ETA07C01","Pollution and Resource Taxes","2014","2014","21","Mining and quarrying (05-09)","€m","0"
"ETA07C01","Pollution and Resource Taxes","2014","2014","22","Food, beverages and tobacco (10-12)","€m","1"
"ETA07C01","Pollution and Resource Taxes","2014","2014","23","Textiles and pharmaceuticals (13-21)","€m","1"
"ETA07C01","Pollution and Resource Taxes","2014","2014","24","Plastic and non-metallic minerals (22-23)","€m","0"
"ETA07C01","Pollution and Resource Taxes","2014","2014","25","Metals, machinery and equipment (24-33)","€m","2"
"ETA07C01","Pollution and Resource Taxes","2014","2014","26","Electricity and gas (35)","€m","0"
"ETA07C01","Pollution and Resource Taxes","2014","2014","27","Water and Waste (36-39)","€m","0"
"ETA07C01","Pollution and Resource Taxes","2014","2014","28","Construction (41-43)","€m","2"
"ETA07C01","Pollution and Resource Taxes","2014","2014","03","Services (45-96)","€m","9"
"ETA07C01","Pollution and Resource Taxes","2014","2014","31","Wholesale and retail trade (45-47)","€m","2"
"ETA07C01","Pollution and Resource Taxes","2014","2014","32","Transport, postal and warehousing (49-53)","€m","1"
"ETA07C01","Pollution and Resource Taxes","2014","2014","33","Accommodation and food (55-56)","€m","0"
"ETA07C01","Pollution and Resource Taxes","2014","2014","34","Information and computing (62-63)","€m","1"
"ETA07C01","Pollution and Resource Taxes","2014","2014","35","Rental and leasing (77)","€m","1"
"ETA07C01","Pollution and Resource Taxes","2014","2014","36","Public administration (84)","€m","0"
"ETA07C01","Pollution and Resource Taxes","2014","2014","37","Other services (58-61, 64-66, 68-75, 78-82, 85-88, 90-96)","€m","4"
"ETA07C01","Pollution and Resource Taxes","2014","2014","04","Households and non-residents","€m","31"
"ETA07C01","Pollution and Resource Taxes","2015","2015","01","Agriculture, forestry and fishing (01-03)","€m","0"
"ETA07C01","Pollution and Resource Taxes","2015","2015","02","Industry (05-43)","€m","7"
"ETA07C01","Pollution and Resource Taxes","2015","2015","21","Mining and quarrying (05-09)","€m","0"
"ETA07C01","Pollution and Resource Taxes","2015","2015","22","Food, beverages and tobacco (10-12)","€m","1"
"ETA07C01","Pollution and Resource Taxes","2015","2015","23","Textiles and pharmaceuticals (13-21)","€m","1"
